127.0.0.1, 2015-09-30 21:28:13, GET, /, HTTP/1.1, 303, 0.002193
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.214578
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001289
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000571
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003748
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002012
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.003319
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001713
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.002661
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002958
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000785
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000629
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000553
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001048
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001277
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001129
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000694
127.0.0.1, 2015-09-30 21:28:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000340
